objective,seed,surrogate,generator,dedup,best_b10,best_b40,best_b80,revisits
func2C,1012,rf,keep,encoding,0.012781854823685185,-0.1512619965646667,-0.1512619965646667,0
func2C,1012,rf,flip,combination,0.14264636612809817,-0.0019102045602479272,-0.20398489404635659,0
func2C,1012,rf,flip,encoding,-0.10302351717176976,-0.10302351717176976,-0.10302351717176976,0
func2C,1012,tpe,own,own,0.06702994074959696,0.06702994074959696,0.06702994074959696,0
func2C,1012,random,random,combination,0.03524648379998639,0.03146888043334009,0.03146888043334009,0
func2C,1013,gp,keep,combination,0.022918704026849132,0.00029788395824947275,-0.13083612926260138,0
func2C,1013,gp,keep,encoding,0.06288177604288588,0.007273844710904796,-0.1333733400952176,0
func2C,1013,gp,flip,combination,0.011727009668366012,-0.06067081708571529,-0.06067081708571529,0
func2C,1013,gp,flip,encoding,0.07859770078547985,0.01883086326436366,0.006085897609298466,0
func2C,1013,rf,keep,combination,0.07859770078547985,0.007823843824685883,0.007823843824685883,0
func2C,1013,rf,keep,encoding,0.07859770078547985,0.0752679105832618,0.0752679105832618,0
func2C,1013,rf,flip,combination,0.07859770078547985,0.0057436050031239635,-0.03703972204578119,0
func2C,1013,rf,flip,encoding,0.07859770078547985,0.02815995340650269,0.007199139370705433,0
func2C,1013,tpe,own,own,0.019793022515149073,0.019793022515149073,-0.194812897139619,0
func2C,1013,random,random,combination,0.07859770078547985,0.03947779026239043,0.00912027922861923,0
func2C,1014,gp,keep,combination,0.21196647065816784,0.0017983775008597342,-0.14671643941408796,0
func2C,1014,gp,keep,encoding,0.18402812611080419,0.01734202939911357,-0.13279325953082471,0
func2C,1014,gp,flip,combination,0.10365118955245539,0.025155182027616133,0.021272983968383837,0
func2C,1014,gp,flip,encoding,0.21196647065816784,0.08198182588352562,-0.004373139760700436,0
func2C,1014,rf,keep,combination,0.001566167798400648,-0.20219475397004188,-0.20219475397004188,0
func2C,1014,rf,keep,encoding,0.016325464660872098,0.0039612094331090975,-0.0490911306692408,0
func2C,1014,rf,flip,combination,0.03106489389985599,-0.1447936088060505,-0.1447936088060505,0
func2C,1014,rf,flip,encoding,0.03031306767214638,-0.11119284989746273,-0.11119284989746273,0
func2C,1014,tpe,own,own,0.2505118543951656,0.03747933499756536,0.0004186819620761866,0
func2C,1014,random,random,combination,0.05423736288731471,0.007480361229770711,0.007480361229770711,0
func2C,1015,gp,keep,combination,-0.10267381128707811,-0.1086628699639445,-0.19663128054372614,0
func2C,1015,gp,keep,encoding,-0.14451949613558707,-0.14451949613558707,-0.14451949613558707,0
func2C,1015,gp,flip,combination,-0.1603492925386688,-0.1603492925386688,-0.1603492925386688,0
func2C,1015,gp,flip,encoding,0.15420552856583963,-0.08273234302681147,-0.16582411266983302,0
func2C,1015,rf,keep,combination,0.11066266878064675,-0.03980466616323193,-0.03980466616323193,0
func2C,1015,rf,keep,encoding,0.06843138599059091,-0.07589220522697367,-0.07589220522697367,0
func2C,1015,rf,flip,combination,0.03059839049430546,-0.1426762297576329,-0.1426762297576329,0
func2C,1015,rf,flip,encoding,-0.06893806522937221,-0.06893806522937221,-0.06893806522937221,0
func2C,1015,tpe,own,own,0.009336081014632729,0.009336081014632729,-0.1992315819546366,0
func2C,1015,random,random,combination,0.15420552856583963,-0.0956259672957795,-0.0956259672957795,0
func2C,1016,gp,keep,combination,0.13333729169699038,0.025500745082211815,0.025500745082211815,0
func2C,1016,gp,keep,encoding,0.10611564636693109,0.05898373859996663,-0.13224732162297975,0
func2C,1016,gp,flip,combination,0.12315591927861816,0.09165630023989398,0.022981066766136225,0
func2C,1016,gp,flip,encoding,0.02100579223949327,0.02100579223949327,0.02100579223949327,0
func2C,1016,rf,keep,combination,0.11592910580556655,-0.14443878159330925,-0.14443878159330925,0
func2C,1016,rf,keep,encoding,0.13333729169699038,0.0698352034418725,0.06510674472492602,0
func2C,1016,rf,flip,combination,-0.03221885773901765,-0.03221885773901765,-0.03221885773901765,0
func2C,1016,rf,flip,encoding,0.13333729169699038,0.03895380245136788,0.0005017015884355366,0
func2C,1016,tpe,own,own,0.121822910575465,0.03753207273681467,0.0013226820554233713,0
